Price,Year
,04/06/2016
,04/06/2016
,04/06/2016
,04/06/2016
2089000,04/06/2016
772000,04/06/2016
607000,04/06/2016
622500,04/06/2016
500000,04/06/2016
725000,04/06/2016
775000,04/06/2016
450000,04/06/2016
755000,04/06/2016
802000,04/06/2016
585000,04/06/2016
772500,04/06/2016
1610000,04/06/2016
,04/06/2016
,04/06/2016
1081000,04/06/2016
891000,04/06/2016
806000,04/06/2016
1575000,04/06/2016
1155000,04/06/2016
875000,04/06/2016
740600,04/06/2016
330000,04/06/2016
452000,04/06/2016
738000,04/06/2016
1055000,04/06/2016
920000,04/06/2016
,04/06/2016
981000,04/06/2016
2400000,04/06/2016
890000,04/06/2016
431000,04/06/2016
585000,04/06/2016
845000,04/06/2016
725000,04/06/2016
492500,04/06/2016
650000,04/06/2016
620000,04/06/2016
1050000,04/06/2016
,04/06/2016
588000,04/06/2016
882000,04/06/2016
440000,04/06/2016
430000,04/06/2016
568500,04/06/2016
1155000,04/06/2016
295000,04/06/2016
477000,04/06/2016
485000,04/06/2016
830000,04/06/2016
485000,04/06/2016
2325000,04/06/2016
2050000,04/06/2016
,04/06/2016
2300000,04/06/2016
3460000,04/06/2016
1185000,04/06/2016
880000,04/06/2016
2138000,04/06/2016
2030000,04/06/2016
600000,04/06/2016
,04/06/2016
695000,04/06/2016
373000,04/06/2016
535000,04/06/2016
955000,04/06/2016
1000000,04/06/2016
,04/06/2016
1666000,04/06/2016
910000,04/06/2016
1225000,04/06/2016
640000,04/06/2016
1030000,04/06/2016
,04/06/2016
1326000,04/06/2016
780000,04/06/2016
600000,04/06/2016
1160000,04/06/2016
1100000,04/06/2016
690000,04/06/2016
1580000,04/06/2016
710000,04/06/2016
457000,04/06/2016
660000,04/06/2016
661000,04/06/2016
,04/06/2016
905000,04/06/2016
875000,04/06/2016
1041000,04/06/2016
845000,04/06/2016
,04/06/2016
600000,04/06/2016
1920000,04/06/2016
1330000,04/06/2016
880000,04/06/2016
,04/06/2016
731000,04/06/2016
810000,04/06/2016
1000000,04/06/2016
1470000,04/06/2016
1234500,04/06/2016
1342000,04/06/2016
500000,04/06/2016
1400000,04/06/2016
,04/06/2016
630000,04/06/2016
710000,04/06/2016
717000,04/06/2016
750000,04/06/2016
535000,04/06/2016
,04/06/2016
920000,04/06/2016
1025000,04/06/2016
555000,04/06/2016
1102000,04/06/2016
1300000,04/06/2016
548000,04/06/2016
1100000,04/06/2016
780000,04/06/2016
971000,04/06/2016
442000,04/06/2016
454000,04/06/2016
425000,04/06/2016
385000,04/06/2016
432000,04/06/2016
1804000,04/06/2016
930000,04/06/2016
760500,04/06/2016
437500,04/06/2016
410000,04/06/2016
477500,04/06/2016
545000,04/06/2016
750000,04/06/2016
420000,04/06/2016
510000,04/06/2016
590000,04/06/2016
785000,04/06/2016
545500,04/06/2016
510000,04/06/2016
380000,04/06/2016
465000,04/06/2016
616000,04/06/2016
,04/06/2016
530000,04/06/2016
620500,04/06/2016
,04/06/2016
,04/06/2016
2100000,04/06/2016
561500,04/06/2016
625000,04/06/2016
490000,04/06/2016
560000,04/06/2016
615000,04/06/2016
496000,04/06/2016
1400000,04/06/2016
1101000,04/06/2016
641000,04/06/2016
736500,04/06/2016
405000,04/06/2016
479000,04/06/2016
,04/06/2016
701500,04/06/2016
399000,04/06/2016
398500,04/06/2016
725000,04/06/2016
1360000,04/06/2016
1075000,04/06/2016
1209000,04/06/2016
1000000,04/06/2016
770000,04/06/2016
770000,04/06/2016
735000,04/06/2016
1270000,04/06/2016
850000,04/06/2016
1260000,04/06/2016
2370000,04/06/2016
546000,04/06/2016
1200000,04/06/2016
2000000,04/06/2016
3130000,04/06/2016
910000,04/06/2016
856000,04/06/2016
706000,04/06/2016
,04/06/2016
1050000,04/06/2016
,06/08/2016
,06/08/2016
1035000,06/08/2016
960000,06/08/2016
960000,06/08/2016
720000,06/08/2016
785000,06/08/2016
1110000,06/08/2016
630000,06/08/2016
1930000,06/08/2016
1053000,06/08/2016
1377000,06/08/2016
,06/08/2016
1500000,06/08/2016
590000,06/08/2016
720000,06/08/2016
655000,06/08/2016
680000,06/08/2016
,06/08/2016
,06/08/2016
805000,06/08/2016
,06/08/2016
,06/08/2016
1150000,06/08/2016
,06/08/2016
1370000,06/08/2016
773000,06/08/2016
1435000,06/08/2016
,06/08/2016
1110000,06/08/2016
2435000,06/08/2016
2000000,06/08/2016
1210000,06/08/2016
1370000,06/08/2016
1160000,06/08/2016
1508000,06/08/2016
1770000,06/08/2016
1571000,06/08/2016
752000,06/08/2016
1145000,06/08/2016
1761000,06/08/2016
2600000,06/08/2016
1302500,06/08/2016
1900000,06/08/2016
,06/08/2016
1860000,06/08/2016
1500000,06/08/2016
870000,06/08/2016
400000,06/08/2016
,06/08/2016
1815000,06/08/2016
1127000,06/08/2016
1401000,06/08/2016
586000,06/08/2016
734000,06/08/2016
981000,06/08/2016
1300000,06/08/2016
,06/08/2016
,06/08/2016
4110000,06/08/2016
967500,06/08/2016
516000,06/08/2016
330000,06/08/2016
365000,06/08/2016
1101000,06/08/2016
1000000,06/08/2016
1040000,06/08/2016
982000,06/08/2016
1505000,06/08/2016
470000,06/08/2016
498500,06/08/2016
620000,06/08/2016
705000,06/08/2016
953000,06/08/2016
510000,06/08/2016
468300,06/08/2016
671000,06/08/2016
955000,06/08/2016
402500,06/08/2016
513000,06/08/2016
1152000,06/08/2016
1050000,06/08/2016
1440000,06/08/2016
,06/08/2016
665000,06/08/2016
550000,06/08/2016
